visitor_id,visit_date,marketing_channel,source,funnel_stage,stage_date,conversion_value,days_in_stage,campaign_name,device_type,location,visitor_segment
V001,2026-01-01,Email,Newsletter,Customer,2026-01-15,2999,14,Q1 Launch,Desktop,North,Enterprise
V002,2026-01-02,Organic,Google Search,Qualified Lead,2026-01-05,0,3,Organic Search,Mobile,South,SMB
V003,2026-01-03,Paid Ads,Google Ads,Visitor,2026-01-03,0,0,Winter Campaign,Desktop,East,SMB
V004,2026-01-04,Social,Facebook,Lead,2026-01-08,0,4,Social Awareness,Mobile,West,SMB
V005,2026-01-05,Referral,Partner,Customer,2026-01-20,4999,15,Partner Program,Desktop,North,Enterprise
V006,2026-01-06,Email,Webinar,Opportunity,2026-01-12,0,6,Webinar Followup,Desktop,South,Mid-Market
V007,2026-01-07,Organic,Google Search,Customer,2026-01-25,1999,18,Organic Search,Desktop,East,SMB
V008,2026-01-08,Paid Ads,LinkedIn Ads,Qualified Lead,2026-01-11,0,3,LinkedIn Campaign,Desktop,West,Enterprise
V009,2026-01-09,Social,Instagram,Visitor,2026-01-09,0,0,Instagram Ads,Mobile,North,SMB
V010,2026-01-10,Email,Newsletter,Lead,2026-01-14,0,4,Q1 Launch,Desktop,South,SMB
V011,2026-01-11,Referral,Partner,Lead,2026-01-16,0,5,Partner Program,Mobile,East,SMB
V012,2026-01-12,Organic,Google Search,Customer,2026-01-28,2999,16,Organic Search,Mobile,West,Mid-Market
V013,2026-01-13,Paid Ads,Google Ads,Opportunity,2026-01-20,0,7,Winter Campaign,Desktop,North,SMB
V014,2026-01-14,Social,LinkedIn,Qualified Lead,2026-01-18,0,4,LinkedIn Organic,Desktop,South,Enterprise
V015,2026-01-15,Email,Promotional,Customer,2026-01-22,1999,7,January Promo,Mobile,East,SMB
V016,2026-01-16,Organic,Blog,Lead,2026-01-21,0,5,Blog Traffic,Desktop,West,SMB
V017,2026-01-17,Paid Ads,Facebook Ads,Visitor,2026-01-17,0,0,Winter Campaign,Mobile,North,SMB
V018,2026-01-18,Social,Twitter,Lead,2026-01-23,0,5,Twitter Campaign,Desktop,South,SMB
V019,2026-01-19,Referral,Word of Mouth,Customer,2026-02-05,3999,17,Referral,Desktop,East,Enterprise
V020,2026-01-20,Email,Newsletter,Opportunity,2026-01-28,0,8,Q1 Launch,Desktop,West,Mid-Market
V021,2026-01-21,Organic,Google Search,Lead,2026-01-26,0,5,Organic Search,Mobile,North,SMB
V022,2026-01-22,Paid Ads,Google Ads,Customer,2026-02-08,2999,17,Winter Campaign,Desktop,South,SMB
V023,2026-01-23,Social,Facebook,Qualified Lead,2026-01-27,0,4,Social Awareness,Mobile,East,SMB
V024,2026-01-24,Email,Webinar,Lead,2026-01-29,0,5,Webinar Followup,Desktop,West,Mid-Market
V025,2026-01-25,Referral,Partner,Opportunity,2026-02-02,0,8,Partner Program,Desktop,North,Enterprise
V026,2026-01-26,Organic,Blog,Customer,2026-02-10,1999,15,Blog Traffic,Mobile,South,SMB
V027,2026-01-27,Paid Ads,LinkedIn Ads,Lead,2026-02-03,0,7,LinkedIn Campaign,Desktop,East,SMB
V028,2026-01-28,Social,Instagram,Visitor,2026-01-28,0,0,Instagram Ads,Mobile,West,SMB
V029,2026-01-29,Email,Newsletter,Customer,2026-02-12,2999,14,Q1 Launch,Desktop,North,Mid-Market
V030,2026-01-30,Organic,Google Search,Opportunity,2026-02-06,0,7,Organic Search,Mobile,South,SMB
V031,2026-02-01,Referral,Partner,Customer,2026-02-18,3999,17,Partner Program,Desktop,East,Enterprise
V032,2026-02-02,Email,Promotional,Lead,2026-02-08,0,6,February Promo,Mobile,West,SMB
V033,2026-02-03,Paid Ads,Google Ads,Qualified Lead,2026-02-07,0,4,Winter Campaign,Desktop,North,SMB
V034,2026-02-04,Social,LinkedIn,Lead,2026-02-10,0,6,LinkedIn Organic,Desktop,South,SMB
V035,2026-02-05,Organic,Google Search,Customer,2026-02-22,2999,17,Organic Search,Desktop,East,Mid-Market
V036,2026-02-06,Email,Webinar,Opportunity,2026-02-14,0,8,Webinar Followup,Mobile,West,SMB
V037,2026-02-07,Paid Ads,Facebook Ads,Lead,2026-02-14,0,7,Winter Campaign,Desktop,North,SMB
V038,2026-02-08,Social,Twitter,Visitor,2026-02-08,0,0,Twitter Campaign,Mobile,South,SMB
V039,2026-02-09,Referral,Word of Mouth,Qualified Lead,2026-02-13,0,4,Referral,Desktop,East,Enterprise
V040,2026-02-10,Organic,Blog,Lead,2026-02-17,0,7,Blog Traffic,Desktop,West,SMB
V041,2026-02-11,Email,Newsletter,Customer,2026-02-26,1999,15,Q1 Launch,Mobile,North,SMB
V042,2026-02-12,Paid Ads,Google Ads,Opportunity,2026-02-21,0,9,Winter Campaign,Desktop,South,Mid-Market
